round_epochs,val_loss,val_mean_absolute_error,loss,mean_absolute_error,batch_size,epochs,dropout,optimizer
55,0.030067720200089413,0.030067720200089413,0.02833872034890774,0.02833872034890774,1400,200,0.41999999999999993,Adam
48,0.030168377786953686,0.030168377786953686,0.02836512315525767,0.02836512315525767,1200,150,0.18,Nadam
27,0.031033963649834125,0.031033963649834125,0.030133229391962793,0.030133229391962793,1400,100,0.26,Nadam
107,0.030719640317068194,0.030719640317068194,0.0314955541307291,0.0314955541307291,1400,250,0.41999999999999993,Adadelta
44,0.030323395712908794,0.030323395712908794,0.028704606712349836,0.028704606712349836,1600,200,0.33999999999999997,Adam
33,0.03070162812126001,0.03070162812126001,0.026529986040363242,0.026529986040363242,1000,100,0.1,Nadam
70,0.03491850275454882,0.03491850275454882,0.03928494511061759,0.03928494511061759,1400,150,0.26,SGD
102,0.030260439054532098,0.030260439054532098,0.030922143661382222,0.030922143661382222,1200,200,0.33999999999999997,Adadelta
36,0.030211644856954285,0.030211644856954285,0.02940330087724282,0.02940330087724282,1200,200,0.41999999999999993,Nadam
36,0.0318481330504997,0.0318481330504997,0.025887412526021888,0.025887412526021888,1600,250,0.1,Nadam
34,0.03035356943916605,0.03035356943916605,0.02884033449225068,0.02884033449225068,1000,150,0.33999999999999997,Nadam
40,0.030244521356948953,0.030244521356948953,0.028054092492850752,0.028054092492850752,1400,250,0.26,Adam
72,0.030500353178587774,0.030500353178587774,0.031181211192458893,0.031181211192458893,1000,100,0.33999999999999997,Adadelta
47,0.03022783657593293,0.03022783657593293,0.02861125683013674,0.02861125683013674,1600,150,0.33999999999999997,Adam
46,0.030636720605189054,0.030636720605189054,0.02962209743183866,0.02962209743183866,1200,250,0.41999999999999993,Adam
94,0.0348551447246215,0.0348551447246215,0.0399404859186652,0.0399404859186652,1400,200,0.33999999999999997,SGD
51,0.030526778485385635,0.030526778485385635,0.028803542129923247,0.028803542129923247,1000,150,0.26,Nadam
36,0.038396948651832734,0.038396948651832734,0.042044075697755486,0.042044075697755486,1600,200,0.33999999999999997,SGD
106,0.0301586649640807,0.0301586649640807,0.030993535663589117,0.030993535663589117,1000,150,0.33999999999999997,Adadelta
35,0.03765718802781289,0.03765718802781289,0.04380158167882899,0.04380158167882899,1400,200,0.41999999999999993,SGD
54,0.03053439453666993,0.03053439453666993,0.028507455604253884,0.028507455604253884,1400,150,0.26,Nadam
35,0.03072301400973345,0.03072301400973345,0.02991252614303585,0.02991252614303585,1400,200,0.26,Nadam
38,0.031039309882068374,0.031039309882068374,0.027442628839209927,0.027442628839209927,1400,250,0.26,Nadam
37,0.030222946971724472,0.030222946971724472,0.028131314876560034,0.028131314876560034,1200,200,0.26,Adam
35,0.03059850923672898,0.03059850923672898,0.026918004844453315,0.026918004844453315,1000,250,0.18,Adam
