round_epochs,val_loss,val_mean_absolute_error,loss,mean_absolute_error,batch_size,epochs,dropout,optimizer
18,0.005687721700245653,0.052659437766975466,0.0044145598509568226,0.046090297458864046,1600,1500,0.3400000000000001,Adam
11,0.03758583011834444,0.1708601150074307,0.03812381060049723,0.17520008483306265,1400,2500,0.22000000000000003,RMSprop
51,0.004646447673243756,0.04503111705484365,0.0038169464549333678,0.04230747981246542,1400,2500,0.4600000000000001,Adadelta
57,0.0042697362603666255,0.04098761643575655,0.003868446486683502,0.04276013694311979,1400,2000,0.42000000000000004,Adadelta
12,0.01367610598928167,0.08822059554682324,0.012894672419922317,0.08694023734763545,1400,1000,0.38,Adam
15,0.009000873324402891,0.072189747270017,0.00601584123600062,0.056995636141250645,1200,1000,0.14,Adam
19,0.005502874521003719,0.04985160369189058,0.005415943337309643,0.05162470234856777,1600,2000,0.30000000000000004,Adadelta
11,0.03758583052394521,0.17086011831927128,0.038123810810298045,0.1752000832471467,1000,2000,0.22000000000000003,Adam
